Course Code,Course Name,Programme Code,Batch,Section,Semester,Category,Status
CS209,Logic Design,UCS,UCS 2023-2027,ALL,3,core,active
MA201,Engineering Mathematics- III,UCS,UCS 2023-2027,ALL,3,core,active
CS281,Data Structure and Algorithms Lab,UCS,UCS 2023-2027,ALL,3,core,active
CS283,Object- Oriented Programming Lab,UCS,UCS 2023-2027,ALL,3,core,active
CS285,Logic Design Lab,UCS,UCS 2023-2027,ALL,3,core,active
GP,General Proficiency,UCS,UCS 2023-2027,ALL,3,common,active
CS202,Software Engineering,UCS,UCS 2023-2027,ALL,4,core,active
CS204,Database Management System,UCS,UCS 2023-2027,ALL,4,core,active
CS206,Java Programming,UCS,UCS 2023-2027,ALL,4,core,active
CS208,Artificial Intelligence,UCS,UCS 2023-2027,ALL,4,core,active
CS210,Theory of Automata,UCS,UCS 2023-2027,ALL,4,core,active
CS212,Discrete Structure,UCS,UCS 2023-2027,ALL,4,core,active
CS282,Database Management System Lab,UCS,UCS 2023-2027,ALL,4,core,active
CS284,Java Programming Lab,UCS,UCS 2023-2027,ALL,4,core,active
CS286,Artificial Intelligence Lab,UCS,UCS 2023-2027,ALL,4,core,active
GP,General Proficiency,UCS,UCS 2023-2027,ALL,4,common,active
CS301,Computer Networks,UCS,UCS 2023-2027,ALL,5,core,active
CS303,Compiler Design,UCS,UCS 2023-2027,ALL,5,core,active
CS305,Wireless Communication,UCS,UCS 2023-2027,ALL,5,core,active
CS307,Python,UCS,UCS 2023-2027,ALL,5,core,active
CS381,Computer Networks Lab,UCS,UCS 2023-2027,ALL,5,core,active
CS383,Compiler Design Lab,UCS,UCS 2023-2027,ALL,5,core,active
CS385,Python Programming Lab,UCS,UCS 2023-2027,ALL,5,core,active
GP,General Proficiency,UCS,UCS 2023-2027,ALL,5,common,active
CS309,Computer Graphics,UCS,UCS 2023-2027,ALL,5,elective,active
CS311,Computer Vision,UCS,UCS 2023-2027,ALL,5,elective,active
CS313,Android Operating System,UCS,UCS 2023-2027,ALL,5,elective,active
CS315,Computer Based Numerical and Statistical Techniques,UCS,UCS 2023-2027,ALL,5,elective,active
CS317,Data Mining,UCS,UCS 2023-2027,ALL,5,elective,active
CS319,System Analysis & Design,UCS,UCS 2023-2027,ALL,5,elective,active
CS321,Software Project Management,UCS,UCS 2023-2027,ALL,5,elective,active
CS323,Information Retrieval System,UCS,UCS 2023-2027,ALL,5,elective,active
CS325,Graph Theory,UCS,UCS 2023-2027,ALL,5,elective,active
CS327,Knowledge Engineering,UCS,UCS 2023-2027,ALL,5,elective,active
CS302,Web Development using PHP,UCS,UCS 2023-2027,ALL,6,core,active
CS304,Software Testing,UCS,UCS 2023-2027,ALL,6,core,active
CS306,Analysis and Design of Algorithms,UCS,UCS 2023-2027,ALL,6,core,active
CS308,Cyber Security,UCS,UCS 2023-2027,ALL,6,core,active
CS382,Web Development using PHP Lab,UCS,UCS 2023-2027,ALL,6,core,active
CS384,Analysis and Design of Algorithms Lab,UCS,UCS 2023-2027,ALL,6,core,active
CS386,Cyber Security Lab,UCS,UCS 2023-2027,ALL,6,core,active
GP,General Proficiency,UCS,UCS 2023-2027,ALL,6,common,active
CS310,Digital Image Processing,UCS,UCS 2023-2027,ALL,6,elective,active
CS312,Adhoc & Sensor Networks,UCS,UCS 2023-2027,ALL,6,elective,active
CS314,Expert System,UCS,UCS 2023-2027,ALL,6,elective,active
CS316,Fault tolerant System,UCS,UCS 2023-2027,ALL,6,elective,active
CS318,Mobile Computing,UCS,UCS 2023-2027,ALL,6,elective,active
CS320,Computer security,UCS,UCS 2023-2027,ALL,6,elective,active
CS322,Management Information system,UCS,UCS 2023-2027,ALL,6,elective,active
CS324,Evolutionary Computation,UCS,UCS 2023-2027,ALL,6,elective,active
CS326,Fuzzy logic,UCS,UCS 2023-2027,ALL,6,elective,active
CS328,Big Data Analytics,UCS,UCS 2023-2027,ALL,6,elective,active
MA401,Modeling and Simulation,UCS,UCS 2023-2027,ALL,7,core,active
CS401,Internet of Things,UCS,UCS 2023-2027,ALL,7,core,active
CS403,Soft Computing Techniques,UCS,UCS 2023-2027,ALL,7,core,active
CS405,Machine Learning,UCS,UCS 2023-2027,ALL,7,core,active
CS481,Internet of Things Lab,UCS,UCS 2023-2027,ALL,7,core,active
CS491,Minor Project,UCS,UCS 2023-2027,ALL,7,core,active
CS493,Industrial Training,UCS,UCS 2023-2027,ALL,7,core,active
GP,General Proficiency,UCS,UCS 2023-2027,ALL,7,common,active
CS407,Pattern Recognition,UCS,UCS 2023-2027,ALL,7,elective,active
CS409,Robotics,UCS,UCS 2023-2027,ALL,7,elective,active
CS411,Optimization Techniques,UCS,UCS 2023-2027,ALL,7,elective,active
CS413,Cloud Computing,UCS,UCS 2023-2027,ALL,7,elective,active
CS415,Information Security,UCS,UCS 2023-2027,ALL,7,elective,active
CS490,Seminar,UCS,UCS 2023-2027,ALL,8,core,active
CS492,Major Project,UCS,UCS 2023-2027,ALL,8,core,active
CS494,Internship,UCS,UCS 2023-2027,ALL,8,core,active
GP,General Proficiency,UCS,UCS 2023-2027,ALL,8,common,active
,,,,ALL,,,
